Unnamed: 0,artist_name,track_name,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Jason Mraz,I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,68,2012,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,240166,3
1770,Neon Trees,Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,77,2012,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,177280,4
1771,Deftones,Rosemary,4FEr6dIdH6EqLKR0jB560J,71,2012,0.285,0.613,5,-6.412,1,0.0421,0.0185,0.1,0.114,0.0772,126.628,413347,4
1772,Black Veil Brides,In The End,1RTYixE1DD3g3upEpmCJpa,68,2012,0.442,0.939,8,-4.18,1,0.0941,0.000183,0.00589,0.0857,0.27,140.021,228280,4
1773,Thousand Foot Krutch,Courtesy Call,0AOmbw8AwDnwXhHC3OhdVB,71,2012,0.531,0.638,11,-5.145,0,0.0809,0.00409,0.0,0.0822,0.445,164.079,236898,4
1778,Thousand Foot Krutch,War of Change,1qUHD9oPIMFHKpR12NY2KC,67,2012,0.531,0.887,5,-4.417,0,0.0329,0.00261,0.000512,0.0657,0.626,104.055,231665,4
1816,Vicentico,No Te Apartes de Mí,74KqkyHbpneHF6JT8EwUOO,70,2012,0.816,0.549,7,-8.649,1,0.0312,0.791,3.4e-05,0.117,0.886,111.032,198333,4
1952,El Cuarteto De Nos,Lo malo de ser bueno,7xB3hSztVbX6xFvQqEGKud,66,2012,0.687,0.851,1,-3.413,0,0.0409,0.0977,0.0,0.0785,0.637,94.963,242120,4
2018,No Te Va Gustar,A las Nueve,0CgpCtEPvyDizcg2p47VrU,68,2012,0.625,0.804,4,-5.652,0,0.0268,0.236,8.22e-05,0.308,0.827,129.931,207533,4
2135,No Te Va Gustar,Ese Maldito Momento,6MuJUSYCqA4FpMogUHzb2R,66,2012,0.643,0.616,11,-6.358,0,0.0266,0.469,5.74e-05,0.0886,0.652,139.931,185867,4
2724,Cigarettes After Sex,Nothing's Gonna Hurt You Baby,3GhsBdS9ulPK3KCdwHRPhG,66,2012,0.509,0.331,4,-14.083,1,0.0267,0.272,0.136,0.114,0.0957,96.848,286293,4
2725,Sleeping At Last,Turning Page,2kfGoV9a5dbSKCNmUWH2ZF,68,2012,0.307,0.371,3,-8.498,1,0.0288,0.923,0.0253,0.11,0.189,115.241,255893,3
2726,Marconi Union,Weightless,6kkwzB6hXLIONkEk9JciA6,66,2012,0.139,0.22,2,-19.974,0,0.0324,0.856,0.831,0.17,0.0789,71.432,480107,5
11225,Florida Georgia Line,Cruise,0i5el041vd6nxrGEU8QRxy,69,2012,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0,208960,4
11226,Uncle Lucius,Keep The Wolves Away,1u7J5sEfgOVRt5bkfU2oGV,69,2012,0.682,0.351,1,-10.276,0,0.0318,0.52,0.00059,0.11,0.144,122.207,275520,4
11227,Lee Brice,Hard To Love,6E9V9TRlVOLjenGjHemzEH,67,2012,0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,224293,4
11228,Kip Moore,Somethin' 'Bout A Truck,6Ymvlzom4TQeoKqAWsZRD8,66,2012,0.554,0.794,11,-5.417,1,0.035,0.0697,0.0,0.63,0.79,176.01,213827,4
12104,Bruno Mars,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,85,2012,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,4
12105,MKTO,Classic,6FE2iI43OZnszFLuLtvvmg,79,2012,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,175427,4
12106,Pitbull,Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,80,2012,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,204160,4
12107,Calvin Harris,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,78,2012,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,4
12108,Carly Rae Jepsen,Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,71,2012,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,4
12109,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,80,2012,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,4
12110,Bruno Mars,Treasure,55h7vJchibLdUkxdlX3fK7,78,2012,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,178560,4
12111,P!nk,Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,80,2012,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,4
12112,Kesha,Die Young,7EQGXaVSyEDsCWKmUcfpLk,76,2012,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,4
12113,Swedish House Mafia,Don't You Worry Child - Radio Edit,2V65y3PX4DkRhy1djlxd9p,80,2012,0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,212862,4
12114,Miguel,Adorn,25cUhiAod71TIQSNicOaW3,68,2012,0.625,0.576,11,-5.693,0,0.175,0.0543,4.07e-05,0.187,0.235,179.063,193147,4
12115,Grimes,Genesis,3cjvqsvvU80g7WJPMVh8iq,68,2012,0.611,0.677,10,-6.745,0,0.034,0.0764,0.0698,0.241,0.233,166.04,255320,4
12116,Zedd,Clarity,60wwxj6Dd9NJlirf84wr2c,74,2012,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,271427,4
12117,MARINA,Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F,76,2012,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024,154667,4
12118,The Script,Hall of Fame (feat. will.i.am),1X1DWw2pcNZ8zSub3uhlNz,67,2012,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,202533,4
12119,Train,Drive By,0KAiuUOrLTIkzkpfpn9jb9,76,2012,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,195973,4
12120,Pitbull,Feel This Moment (feat. Christina Aguilera),0Hf4aIJpsN4Os2f0y0VqWl,76,2012,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,229507,4
12121,Flo Rida,Wild Ones (feat. Sia),1NpW5kyvO4XrNJ3rnfcNy3,76,2012,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075,232947,4
12123,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),6CjtS2JZH9RkDz5UVInsa9,76,2012,0.781,0.526,6,-6.986,0,0.293,0.0633,0.0,0.0457,0.665,94.993,235613,4
12124,Flo Rida,Good Feeling,2LEF1A8DOZ9wRYikWgVlZ8,75,2012,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133,4
12125,Flo Rida,Whistle,3bC1ahPIYt1btJzSSEyyrF,76,2012,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976,224653,4
12126,Olly Murs,Troublemaker (feat. Flo Rida),6s8nHXTJVqFjXE4yVZPDHR,73,2012,0.762,0.863,0,-3.689,0,0.0561,0.015,0.0,0.125,0.965,106.012,185587,4
12127,P!nk,Try,1jF7IL57ayN4Ity3jQqGu0,76,2012,0.674,0.628,2,-7.079,1,0.03,0.00144,0.0,0.0944,0.552,103.998,247907,4
12128,MARINA,Primadonna,4sOX1nhpKwFWPvoMMExi3q,71,2012,0.66,0.689,4,-2.671,0,0.0337,0.0884,0.0,0.0922,0.427,127.98,221075,4
12129,Katy Perry,Part Of Me,6yARPLK0PV4heEyh7pVMGz,68,2012,0.667,0.922,5,-4.645,1,0.0353,0.000354,0.0,0.0867,0.761,130.01,216160,4
12131,Katy Perry,California Gurls,6tS3XVuOyu10897O3ae7bi,73,2012,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,234653,4
12132,Katy Perry,The One That Got Away,3oL3XRtkP1WVbMxf7dtTdu,72,2012,0.687,0.792,1,-4.023,0,0.0353,0.000802,0.0,0.2,0.864,133.962,227333,4
12133,Crystal Castles,Transgender,26ZzSLUJMmYp5u1hDELEWH,73,2012,0.522,0.914,7,-8.285,1,0.0379,0.000164,0.847,0.24,0.0364,137.939,184760,3
12134,Katy Perry,Last Friday Night (T.G.I.F.),455AfCsOhhLPRc68sE01D8,73,2012,0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31e-05,0.671,0.765,126.03,230747,4
12136,Calvin Harris,Sweet Nothing (feat. Florence Welch),24LS4lQShWyixJ0ZrJXfJ5,71,2012,0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,212560,4
12137,Bridgit Mendler,Ready or Not,5xvUgoVED1F4mBu8FL0HaW,69,2012,0.715,0.872,2,-3.835,1,0.0509,0.00351,3.84e-05,0.107,0.748,93.043,200947,4
12138,Train,50 Ways to Say Goodbye,2NniAhAtkRACaMeYt48xlD,66,2012,0.591,0.935,6,-2.664,1,0.0478,0.000284,0.000278,0.142,0.736,140.043,247947,4
